#Instrument,Date,Time,Price,Volume,Value,Trans ID,Bid ID,Ask ID,Bid/Ask
BHP,20130205,14:39:49.215,37.250,77,2868.25,0,6230424149653829774,,B
BHP,20130205,14:40:00.440,37.250,9,335.25,0,6230424149653831850,,B
BHP,20130205,14:46:49.430,37.250,1549,57700.25,0,6230424149653875701,,B
BHP,20130205,14:50:12.440,37.250,200,7450,0,6230424149653876975,,B
BHP,20130205,14:51:59.525,37.250,4,149,0,6230424149653914852,,B
BHP,20130205,14:54:20.914,37.250,290,10802.5,0,6230424149653930496,,B
BHP,20130205,14:54:33.496,37.250,63,2346.75,0,6230424149653931540,,B
BHP,20130205,14:57:18.954,37.250,337,12553.25,0,6230424149653956101,,B
BHP,20130205,15:03:02.157,37.250,5,186.25,0,6230424149653984442,,B
BHP,20130205,15:04:09.567,37.250,15,558.75,0,6230424149653999433,,B
BHP,20130205,15:05:56.285,37.250,300,11175,0,6230424149654012670,,B
BHP,20130205,15:11:43.203,37.250,404,15049,0,6230424149654051097,,B
BHP,20130205,15:37:23.514,37.250,500,18625,0,6230424149654071099,,B
BHP,20130205,15:37:29.178,37.250,570,21232.5,0,6230424149654224838,,B
BHP,20130205,15:38:14.872,37.250,1000,37250,0,6230424149654274438,,B
BHP,20130205,15:39:33.535,37.250,44,1639,0,6230424149654274663,,B
BHP,20130205,15:39:53.296,37.250,200,7450,0,6230424149654291052,,B
BHP,20130205,15:41:00.712,37.250,1691,62989.75,0,6230424149654298173,,B
BHP,20130205,15:41:08.777,37.250,98,3650.5,0,6230424149654302201,,B
BHP,20130205,15:41:16.681,37.250,679,25292.75,0,6230424149654302202,,B
BHP,20130205,15:49:03.898,37.250,138,5140.5,0,6230424149654311718,,B
BHP,20130205,15:49:14.197,37.250,1872,69732,0,6230424149654311718,,B
BHP,20130205,15:49:33.526,37.250,2,74.5,0,6230424149654373278,,B
BHP,20130205,15:55:36.055,37.250,1,37.25,0,6230424149654373278,,B
BHP,20130205,15:55:47.834,37.250,541,20152.25,0,6230424149654456665,,B
BHP,20130205,15:57:01.942,37.250,31,1154.75,0,6230424149654325807,,B
BHP,20130205,15:57:39.187,37.250,1000,37250,0,6230424149654474523,,B
BHP,20130205,12:40:40.522,37.245,3,111.735,0,6230424149652955311,,B
BHP,20130205,14:46:14.730,37.245,2,74.49,0,6230424149653872272,,B
BHP,20130205,14:52:27.035,37.245,41,1527.045,0,6230424149653917573,,B
BHP,20130205,11:45:11.597,37.240,24,893.76,0,6230424149652512659,,B
BHP,20130205,11:45:13.858,37.240,59,2197.16,0,6230424149652527480,,B
BHP,20130205,11:45:46.342,37.240,900,33516,0,6230424149652532969,,B
BHP,20130205,11:46:13.228,37.240,23,856.52,0,6230424149652538865,,B
BHP,20130205,11:46:44.183,37.240,62,2308.88,0,6230424149652534685,,B
BHP,20130205,11:54:59.689,37.240,165,6144.6,0,6230424149652610877,,B
BHP,20130205,12:11:45.925,37.240,28,1042.72,0,6230424149652739124,,B
BHP,20130205,12:11:56.741,37.240,206,7671.44,0,6230424149652745539,,B
BHP,20130205,12:12:05.298,37.240,30,1117.2,0,6230424149652746412,,B
BHP,20130205,12:13:38.565,37.240,809,30127.16,0,6230424149652747437,,B
BHP,20130205,12:14:16.926,37.240,820,30536.8,0,6230424149652762141,,B
BHP,20130205,12:14:16.988,37.240,16,595.84,0,6230424149652762217,,B
BHP,20130205,12:14:38.417,37.240,130,4841.2,0,6230424149652758669,,B
BHP,20130205,12:14:44.619,37.240,11,409.64,0,6230424149652765092,,B
BHP,20130205,12:15:14.287,37.240,4,148.96,0,6230424149652768026,,B
BHP,20130205,12:16:14.545,37.240,106,3947.44,0,6230424149652773609,,B
BHP,20130205,12:22:15.925,37.240,35,1303.4,0,6230424149652812847,,B
BHP,20130205,12:22:37.639,37.240,40,1489.6,0,6230424149652814171,,B
BHP,20130205,12:41:58.871,37.240,956,35601.44,0,6230424149652970958,,B
BHP,20130205,12:43:07.636,37.240,141,5250.84,0,6230424149652971218,,B
BHP,20130205,12:45:07.983,37.240,134,4990.16,0,6230424149653007100,,B
BHP,20130205,12:45:26.835,37.240,3,111.72,0,6230424149653011874,,B
BHP,20130205,12:48:45.546,37.240,128,4766.72,0,6230424149653049671,,B
BHP,20130205,12:48:58.992,37.240,122,4543.28,0,6230424149653052187,,B
BHP,20130205,13:32:10.174,37.240,14,521.36,0,6230424149653372413,,B
BHP,20130205,13:32:51.190,37.240,180,6703.2,0,6230424149653384479,,B
BHP,20130205,13:32:59.160,37.240,2,74.48,0,6230424149653385475,,B
BHP,20130205,13:35:26.445,37.240,25,931,0,6230424149653391251,,B
BHP,20130205,13:37:36.790,37.240,266,9905.84,0,6230424149653408391,,B
BHP,20130205,13:37:36.891,37.240,42,1564.08,0,6230424149653413286,,B
BHP,20130205,13:39:23.405,37.240,152,5660.48,0,6230424149653424854,,B
BHP,20130205,13:41:27.120,37.240,28,1042.72,0,6230424149653434066,,B
BHP,20130205,13:41:45.606,37.240,59,2197.16,0,6230424149653435327,,B
BHP,20130205,13:58:48.424,37.240,1,37.24,0,6230424149653557206,,B
BHP,20130205,13:59:13.345,37.240,254,9458.96,0,6230424149653558642,,B
BHP,20130205,14:04:32.848,37.240,180,6703.2,0,6230424149653566704,,B
BHP,20130205,14:26:36.714,37.240,133,4952.92,0,6230424149653735904,,B
BHP,20130205,14:30:06.008,37.240,21,782.04,0,6230424149653758618,,B
BHP,20130205,14:35:58.260,37.240,335,12475.4,0,6230424149653794166,,B
BHP,20130205,14:36:22.292,37.240,32,1191.68,0,6230424149653797714,,B
BHP,20130205,14:36:35.383,37.240,40,1489.6,0,6230424149653797714,,B
BHP,20130205,14:37:52.904,37.240,117,4357.08,0,6230424149653805106,,B
BHP,20130205,14:45:59.806,37.240,36,1340.64,0,6230424149653834656,,B
BHP,20130205,14:46:00.557,37.240,328,12214.72,0,6230424149653870438,,B
BHP,20130205,14:50:12.585,37.240,771,28712.04,0,6230424149653875488,,B
BHP,20130205,14:53:45.270,37.240,402,14970.48,0,6230424149653914068,,B
BHP,20130205,14:54:37.961,37.240,115,4282.6,0,6230424149653914068,,B
BHP,20130205,14:57:02.260,37.240,528,19662.72,0,6230424149653953555,,B
BHP,20130205,14:57:09.285,37.240,134,4990.16,0,6230424149653954720,,B
BHP,20130205,15:00:18.568,37.240,1,37.24,0,6230424149653973809,,B
BHP,20130205,15:00:41.220,37.240,68,2532.32,0,6230424149653976389,,B
BHP,20130205,15:04:09.567,37.240,1033,38468.92,0,6230424149653981281,,B
BHP,20130205,15:04:19.211,37.240,85,3165.4,0,6230424149654000515,,B
BHP,20130205,15:05:56.357,37.240,3,111.72,0,6230424149654012672,,B
BHP,20130205,15:07:55.263,37.240,1341,49938.84,0,6230424149654022669,,B
BHP,20130205,15:07:55.509,37.240,2,74.48,0,6230424149654021437,,B
BHP,20130205,15:07:59.398,37.240,946,35229.04,0,6230424149654022931,,B
BHP,20130205,15:39:53.375,37.240,342,12736.08,0,6230424149654100830,,B
BHP,20130205,15:40:05.378,37.240,969,36085.56,0,6230424149654292032,,B
BHP,20130205,15:40:08.835,37.240,138,5139.12,0,6230424149654294758,,B
BHP,20130205,15:55:49.948,37.240,1,37.24,0,6230424149654457105,,B
BHP,20130205,15:56:05.069,37.240,53,1973.72,0,6230424149654460160,,B
BHP,20130205,15:56:29.958,37.240,327,12177.48,0,6230424149654463871,,B
BHP,20130205,15:56:31.173,37.240,21,782.04,0,6230424149654464124,,B
BHP,20130205,15:57:06.991,37.240,29,1079.96,0,6230424149654465023,,B
BHP,20130205,15:57:40.815,37.240,35,1303.4,0,6230424149654468099,,B
BHP,20130205,15:57:55.912,37.240,302,11246.48,0,6230424149654468099,,B
BHP,20130205,15:58:05.989,37.240,1,37.24,0,6230424149654479055,,B
BHP,20130205,11:56:10.195,37.235,600,22341,0,6230424149652621448,,B
BHP,20130205,14:28:25.538,37.235,36,1340.46,0,6230424149653749088,,B
BHP,20130205,14:29:27.124,37.235,41,1526.635,0,6230424149653754738,,B
BHP,20130205,14:51:56.776,37.235,21,781.935,0,6230424149653914064,,B
BHP,20130205,11:45:27.164,37.230,290,10796.7,0,6230424149651776568,,B
BHP,20130205,11:47:33.084,37.230,588,21891.24,0,6230424149651776568,,B
BHP,20130205,11:52:10.180,37.230,934,34772.82,0,6230424149652589126,,B
BHP,20130205,11:54:45.163,37.230,1094,40729.62,0,6230424149652608882,,B
BHP,20130205,11:55:34.038,37.230,55,2047.65,0,6230424149652610161,,B
BHP,20130205,11:56:14.052,37.230,190,7073.7,0,6230424149652618264,,B
BHP,20130205,11:56:22.884,37.230,764,28443.72,0,6230424149652624305,,B
BHP,20130205,12:11:45.706,37.230,1,37.23,0,6230424149652743358,,B
BHP,20130205,12:12:10.178,37.230,234,8711.82,0,6230424149652743457,,B
BHP,20130205,12:13:44.024,37.230,43,1600.89,0,6230424149652749830,,B
BHP,20130205,12:16:47.787,37.230,220,8190.6,0,6230424149652762025,,B
BHP,20130205,12:17:18.851,37.230,4,148.92,0,6230424149652760522,,B
BHP,20130205,12:19:34.041,37.230,1,37.23,0,6230424149652795215,,B
BHP,20130205,12:22:00.952,37.230,150,5584.5,0,6230424149652810930,,B
BHP,20130205,12:41:29.023,37.230,560,20848.8,0,6230424149652812776,,B
BHP,20130205,12:43:30.549,37.230,141,5249.43,0,6230424149652966721,,B
BHP,20130205,12:44:09.647,37.230,141,5249.43,0,6230424149652994792,,B
BHP,20130205,12:45:07.983,37.230,946,35219.58,0,6230424149651963209,,B
BHP,20130205,12:46:32.269,37.230,44,1638.12,0,6230424149653010825,,B
BHP,20130205,12:48:53.479,37.230,1,37.23,0,6230424149653043227,,B
BHP,20130205,13:32:19.718,37.230,1,37.23,0,6230424149653095500,,B
BHP,20130205,13:32:36.843,37.230,291,10833.93,0,6230424149653381012,,B
BHP,20130205,13:33:49.405,37.230,3,111.69,0,6230424149653384692,,B
BHP,20130205,13:35:56.727,37.230,7,260.61,0,6230424149653384692,,B
BHP,20130205,13:36:53.037,37.230,2,74.46,0,6230424149653384692,,B
BHP,20130205,13:38:43.188,37.230,2000,74460,0,6230424149653385132,,B
BHP,20130205,13:42:06.671,37.230,16,595.68,0,6230424149653425027,,B
BHP,20130205,13:58:15.178,37.230,142,5286.66,0,6230424149653553159,,B
BHP,20130205,13:59:58.325,37.230,142,5286.66,0,6230424149653553628,,B
BHP,20130205,14:04:17.656,37.230,382,14221.86,0,6230424149653587128,,B
BHP,20130205,14:26:36.714,37.230,1,37.23,0,6230424149653735904,,B
BHP,20130205,14:26:54.417,37.230,52,1935.96,0,6230424149653737160,,B
BHP,20130205,14:30:02.659,37.230,131,4877.13,0,6230424149653704250,,B
BHP,20130205,14:30:10.067,37.230,1093,40692.39,0,6230424149653757973,,B
BHP,20130205,14:51:11.090,37.230,1,37.23,0,6230424149653789061,,B
BHP,20130205,14:51:14.083,37.230,6,223.38,0,6230424149653906901,,B
BHP,20130205,14:51:14.308,37.230,661,24609.03,0,6230424149653906910,,B
BHP,20130205,14:51:15.084,37.230,264,9828.72,0,6230424149653907129,,B
BHP,20130205,14:54:38.025,37.230,362,13477.26,0,6230424149653910398,,B
BHP,20130205,14:58:50.842,37.230,46,1712.58,0,6230424149653954943,,B
BHP,20130205,15:04:09.655,37.230,665,24757.95,0,6230424149653973952,,B
BHP,20130205,15:39:53.521,37.230,201,7483.23,0,6230424149654019782,,B
BHP,20130205,15:55:59.904,37.230,1,37.23,0,6230424149654459163,,B
BHP,20130205,15:56:02.185,37.230,1,37.23,0,6230424149654459675,,B
BHP,20130205,15:56:04.376,37.230,97,3611.31,0,6230424149654163526,,B
BHP,20130205,15:56:07.648,37.230,47,1749.81,0,6230424149654163526,,B
BHP,20130205,15:56:20.422,37.230,1407,52382.61,0,6230424149654272321,,B
BHP,20130205,15:58:19.569,37.230,856,31868.88,0,6230424149654272321,,B
BHP,20130205,15:59:03.457,37.230,85,3164.55,0,6230424149654490323,,B
BHP,20130205,15:59:36.899,37.230,180,6701.4,0,6230424149654498229,,B
BHP,20130205,15:59:47.651,37.230,50,1861.5,0,6230424149654501452,,B
BHP,20130205,15:59:47.726,37.230,545,20290.35,0,6230424149654501480,,B
BHP,20130205,15:59:59.323,37.230,43,1600.89,0,6230424149654505229,,B
BHP,20130205,11:47:52.113,37.220,920,34242.4,0,6230424149651935924,,B
BHP,20130205,11:48:39.990,37.220,5,186.1,0,6230424149652559166,,B
BHP,20130205,11:51:50.901,37.220,10,372.2,0,6230424149652586494,,B
