#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,15:11.4,ENTER,37.35,100,,3735.0,,,1670,1671,B,,,,366,203
BHP,20130205,15:18.3,ENTER,37.35,100,,3735.0,,,1672,1673,A,,,,366,270
BHP,20130205,15:19.4,ENTER,37.35,100,,3735.0,,,1674,1675,A,,,,366,203
BHP,20130205,15:19.5,ENTER,37.35,100,,3735.0,PXT,,1676,1677,B,,,,203,203
BHP,20130205,15:23.0,ENTER,37.36,100,,3736.0,,,1680,1681,B,,,,140,297
BHP,20130205,15:23.6,ENTER,37.35,100,,3735.0,,,1684,1685,A,,,,366,255
BHP,20130205,15:25.7,ENTER,37.36,100,,3736.0,,,1688,1689,B,,,,154,297
BHP,20130205,15:25.7,ENTER,37.36,100,,3736.0,,,1692,1693,A,,,,154,299
BHP,20130205,16:06.6,ENTER,37.37,100,,3736.9999999999995,,,1744,1745,A,,,,154,119
BHP,20130205,16:13.0,ENTER,37.37,100,,3736.9999999999995,,,1748,1749,B,,,,154,119
BHP,20130205,16:25.5,ENTER,37.36,100,,3736.0,,,1772,1773,A,,,,210,229
BHP,20130205,16:42.7,ENTER,37.36,100,,3736.0,,,1776,1777,B,,,,252,406
BHP,20130205,17:23.0,ENTER,37.36,100,,3736.0,,,1796,1797,A,,,,110,366
BHP,20130205,17:27.7,ENTER,37.35,100,,3735.0,,,1798,1799,B,,,,366,406
BHP,20130205,17:46.6,ENTER,37.36,100,,3736.0,,,1804,1805,B,,,,144,366
BHP,20130205,17:46.6,ENTER,37.36,100,,3736.0,,,1806,1807,A,,,,144,297
BHP,20130205,17:47.6,ENTER,37.36,100,,3736.0,,,1814,1815,B,,,,241,297
BHP,20130205,17:53.1,ENTER,37.36,100,,3736.0,,,1848,1849,A,,,,217,366
BHP,20130205,17:53.1,ENTER,37.36,100,,3736.0,,,1850,1851,B,,,,203,270
BHP,20130205,17:53.3,ENTER,37.36,100,,3736.0,,,1852,1853,B,,,,203,297
BHP,20130205,17:54.8,ENTER,37.35,100,,3735.0,,,1854,1855,A,,,,366,203
BHP,20130205,18:21.6,ENTER,37.355,100,,3735.4999999999995,,,1856,1857,A,,,,144,217
BHP,20130205,18:38.1,ENTER,37.36,100,,3736.0,,,1860,1861,B,,,,406,366
BHP,20130205,18:50.2,ENTER,37.35,100,,3735.0,,,1864,1865,A,,,,366,916
BHP,20130205,19:02.8,ENTER,37.36,100,,3736.0,,,1868,1869,B,,,,366,150
BHP,20130205,19:02.8,ENTER,37.36,100,,3736.0,,,1872,1873,A,,,,366,150
BHP,20130205,19:02.9,ENTER,37.37,100,,3736.9999999999995,,,1888,1889,B,,,,270,297
BHP,20130205,19:02.9,ENTER,37.37,100,,3736.9999999999995,,,1892,1893,A,,,,203,297
BHP,20130205,19:32.9,ENTER,37.36,100,,3736.0,,,1930,1931,A,,,,366,355
BHP,20130205,19:35.8,ENTER,37.37,100,,3736.9999999999995,,,1934,1935,B,,,,244,203
BHP,20130205,19:35.8,ENTER,37.37,100,,3736.9999999999995,,,1938,1939,A,,,,244,210
BHP,20130205,19:53.1,ENTER,37.36,100,,3736.0,XT,,1956,1957,A,,,,366,366
BHP,20130205,19:53.1,ENTER,37.36,100,,3736.0,,,1960,1961,B,,,,299,366
BHP,20130205,19:56.0,ENTER,37.36,100,,3736.0,,,1976,1977,A,,,,255,366
