#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,15:25:32.386,ENTER,37.280,100,,3728.0,,,28184,28185,A,,,,150,297
BHP,20130205,15:26:33.533,ENTER,37.290,100,,3729.0,PXT,,28204,28205,B,,,,150,150
BHP,20130205,15:26:34.643,ENTER,37.285,100,,3728.4999999999995,,,28208,28209,A,,,,229,217
BHP,20130205,15:27:12.888,ENTER,37.280,100,,3728.0,,,28276,28277,A,,,,140,210
BHP,20130205,15:27:12.888,ENTER,37.280,100,,3728.0,,,28280,28281,B,,,,110,210
BHP,20130205,15:27:25.409,ENTER,37.270,100,,3727.0000000000005,,,28324,28325,A,,,,297,210
BHP,20130205,15:27:25.409,ENTER,37.270,100,,3727.0000000000005,,,28328,28329,B,,,,297,210
BHP,20130205,15:27:45.317,ENTER,37.270,100,,3727.0000000000005,,,28348,28349,B,,,,112,366
BHP,20130205,15:28:00.858,ENTER,37.270,100,,3727.0000000000005,,,28368,28369,B,,,,150,366
BHP,20130205,15:28:40.864,ENTER,37.290,100,,3729.0,,,28486,28487,B,,,,945,299
BHP,20130205,15:28:40.864,ENTER,37.290,100,,3729.0,,,28490,28491,A,,,,945,210
BHP,20130205,15:28:40.864,ENTER,37.300,100,,3729.9999999999995,,,28504,28505,B,,,,945,297
BHP,20130205,15:28:40.864,ENTER,37.300,100,,3729.9999999999995,,,28508,28509,A,,,,945,119
BHP,20130205,15:28:40.978,ENTER,37.290,100,,3729.0,,,28534,28535,A,,,,361,210
BHP,20130205,15:28:41.188,ENTER,37.295,100,,3729.5,,,28538,28539,B,,,,361,210
BHP,20130205,15:29:06.830,ENTER,37.310,100,,3731.0,,,28550,28551,B,,,,150,231
BHP,20130205,15:29:06.830,ENTER,37.310,100,,3731.0,,,28552,28553,A,,,,361,231
BHP,20130205,15:29:13.627,ENTER,37.310,100,,3731.0,,,28554,28555,A,,,,361,157
BHP,20130205,15:29:13.627,ENTER,37.310,100,,3731.0,,,28556,28557,B,,,,140,157
BHP,20130205,15:29:16.369,ENTER,37.300,100,,3729.9999999999995,,,28588,28589,A,,,,297,270
